Player,Min,year,PlayerName,PlayerID
A.J. DeLaGarza\AJ-DeLaGarza,2064,2016,A.J. DeLaGarza,AJ-DeLaGarza
Aaron Guillen\Aaron-Guillen,107,2016,Aaron Guillen,Aaron-Guillen
Aaron Kovar\Aaron-Kovar,806,2016,Aaron Kovar,Aaron-Kovar
Aaron Maund\Aaron-Maund,1745,2016,Aaron Maund,Aaron-Maund
Abdoulie Mansally\Abdoulie-Mansally,570,2016,Abdoulie Mansally,Abdoulie-Mansally
Adam Jahn\Adam-Jahn,571,2016,Adam Jahn,Adam-Jahn
Adam Larsen Kwarasey\Adam-Larsen-Kwarasey,581,2016,Adam Larsen Kwarasey,Adam-Larsen-Kwarasey
Adrian Winter\Adrian-Winter,969,2016,Adrian Winter,Adrian-Winter
Agus\Agus,671,2016,Agus,Agus
Agustin Jara\Agustin-Jara,15,2016,Agustin Jara,Agustin-Jara
Alan Gordon\Alan-Gordon,718,2016,Alan Gordon,Alan-Gordon
Alberto Quintero\Alberto-Quintero,2211,2016,Alberto Quintero,Alberto-Quintero
Alec Kann\Alec-Kann,630,2016,Alec Kann,Alec-Kann
Alejandro Bedoya\Alejandro-Bedoya,842,2016,Alejandro Bedoya,Alejandro-Bedoya
Alex Bono\Alex-Bono,1371,2016,Alex Bono,Alex-Bono
Alex Morrell\Alex-Morrell,55,2016,Alex Morrell,Alex-Morrell
Alex Muyl\Alex-Muyl,1599,2016,Alex Muyl,Alex-Muyl
Alex\Alex,2472,2016,Alex,Alex
Alhaji Kamara\Alhaji-Kamara,177,2016,Alhaji Kamara,Alhaji-Kamara
Alphonso Davies\Alphonso-Davies,305,2016,Alphonso Davies,Alphonso-Davies
Alvas Powell\Alvas-Powell,2011,2016,Alvas Powell,Alvas-Powell
Amadou Dia\Amadou-Dia,906,2016,Amadou Dia,Amadou-Dia
Ambroise Oyongo\Ambroise-Oyongo,2317,2016,Ambroise Oyongo,Ambroise-Oyongo
Amobi Okugo\Amobi-Okugo,227,2016,Amobi Okugo,Amobi-Okugo
Amro Tarek\Amro-Tarek,3,2016,Amro Tarek,Amro-Tarek
Anatole Abang\Anatole-Abang,225,2016,Anatole Abang,Anatole-Abang
Anderson Conceição\Anderson-Conceicao,90,2016,Anderson Conceição,Anderson-Conceicao
Andoni Iraola\Andoni-Iraola,2180,2016,Andoni Iraola,Andoni-Iraola
Andre Blake\Andre-Blake,2880,2016,Andre Blake,Andre-Blake
Andrea Pirlo\Andrea-Pirlo,2761,2016,Andrea Pirlo,Andrea-Pirlo
Andreas Ivanschitz\Andreas-Ivanschitz,1895,2016,Andreas Ivanschitz,Andreas-Ivanschitz
Andrew Dykstra\Andrew-Dykstra,90,2016,Andrew Dykstra,Andrew-Dykstra
Andrew Farrell\Andrew-Farrell,2892,2016,Andrew Farrell,Andrew-Farrell
Andrew Jacobson\Andrew-Jacobson,1755,2016,Andrew Jacobson,Andrew-Jacobson
Andrew Tarbell\Andrew-Tarbell,44,2016,Andrew Tarbell,Andrew-Tarbell
Andrew Wenger\Andrew-Wenger,2058,2016,Andrew Wenger,Andrew-Wenger
Andrés Imperiale\Andres-Imperiale,867,2016,Andrés Imperiale,Andres-Imperiale
Anthony Jackson-Hamel\Anthony-Jackson-Hamel,176,2016,Anthony Jackson-Hamel,Anthony-Jackson-Hamel
