Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,Sporting KC,25,1991,12,10,902,10.0,1,1,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20,Matches
2,Mohammed Abu\Mohammed-Abu,gh GHA,MF,Columbus,25,1991,20,14,1279,14.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Columbus,22,1994,7,6,529,5.9,1,0,1,0,0,2,1,0.17,0.00,0.17,0.17,0.17,Matches
4,David Accam\David-Accam,gh GHA,MFFW,Chicago,26,1990,30,24,2194,24.4,14,6,12,2,2,2,0,0.57,0.25,0.82,0.49,0.74,Matches
5,Danilo Acosta\Danilo-Acosta,us USA,DF,Real Salt Lake,19,1997,17,16,1408,15.6,0,1,0,0,0,2,1,0.00,0.06,0.06,0.00,0.06,Matches
6,Kellyn Acosta\Kellyn-Acosta,us USA,MF,FC Dallas,21,1995,23,20,1893,21.0,3,2,3,0,0,2,0,0.14,0.10,0.24,0.14,0.24,Matches
7,Luciano Acosta\Luciano-Acosta,ar ARG,MF,D.C. United,22,1994,31,30,2411,26.8,5,4,4,1,1,4,2,0.19,0.15,0.34,0.15,0.30,Matches
8,Tyler Adams\Tyler-Adams,us USA,MF,NY Red Bulls,17,1999,24,22,1993,22.1,2,3,2,0,0,2,0,0.09,0.14,0.23,0.09,0.23,Matches
9,Seyi Adekoya\Seyi-Adekoya,us USA,FW,Seattle,21,1995,2,1,77,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Fanendo Adi\Fanendo-Adi,ng NGA,FW,Portland,26,1990,22,22,1882,20.9,10,2,7,3,3,2,1,0.48,0.10,0.57,0.33,0.43,Matches
11,Bismark Adjei-Boateng\Bismark-Adjei-Boateng,gh GHA,MF,Colorado,22,1994,18,10,807,9.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
12,François Affolter\Francois-Affolter,ch SUI,DF,San Jose,25,1991,6,6,508,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Harrison Afful\Harrison-Afful,gh GHA,DFMF,Columbus,30,1986,24,21,1779,19.8,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
14,Juan Agudelo\Juan-Agudelo,us USA,FWMF,New England,24,1992,28,20,1817,20.2,8,1,8,0,0,3,0,0.40,0.05,0.45,0.40,0.45,Matches
15,Stefan Aigner\Stefan-Aigner,de GER,MF,Colorado,29,1987,9,5,489,5.4,2,1,2,0,0,2,0,0.37,0.18,0.55,0.37,0.55,Matches
16,José Aja\Jose-Aja,uy URU,DF,Orlando City,23,1993,15,15,1273,14.1,0,0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,Matches
17,Tesho Akindele\Tesho-Akindele,ca CAN,MFFW,FC Dallas,24,1992,29,15,1516,16.8,4,0,4,0,0,3,1,0.24,0.00,0.24,0.24,0.24,Matches
18,Fatai Alashe\Fatai-Alashe,us USA,MFDF,San Jose,23,1993,17,13,1200,13.3,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Roland Alberg\Roland-Alberg,nl NED,MF,Philadelphia,26,1990,24,9,877,9.7,7,0,5,2,3,3,0,0.72,0.00,0.72,0.51,0.51,Matches
20,Romain Alessandrini\Romain-Alessandrini,fr FRA,MF,LA Galaxy,27,1989,30,27,2456,27.3,13,11,11,2,2,8,0,0.48,0.40,0.88,0.40,0.81,Matches
21,Alex\Alex,br BRA,MF,Houston,28,1988,32,28,2300,25.6,2,7,2,0,0,5,2,0.08,0.27,0.35,0.08,0.35,Matches
22,Eric Alexander\Eric-Alexander,us USA,MF,Houston,28,1988,12,11,882,9.8,0,1,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,Matches
