Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,NYCFC,26,1991,4,3,274,3.0,0,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,0.1,0.1,0.9,1.1,0.04,0.30,0.35,0.04,0.35,Matches
2,Mohammed Abu\Mohammed-Abu,gh GHA,MFDF,Columbus,26,1991,4,0,97,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.03,0.11,0.14,0.03,0.14,Matches
3,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Columbus,23,1994,23,20,1771,19.7,1,0,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,0.9,0.9,0.1,1.1,0.05,0.01,0.05,0.05,0.05,Matches
4,David Accam\David-Accam,gh GHA,FWMF,Philadelphia,27,1990,23,13,1213,13.5,1,0,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,3.1,3.1,1.0,4.1,0.23,0.07,0.30,0.23,0.30,Matches
5,Danilo Acosta\Danilo-Acosta,us USA,DF,Real Salt Lake,20,1997,12,10,898,10.0,0,1,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,0.3,0.3,0.5,0.8,0.03,0.05,0.08,0.03,0.08,Matches
6,Kellyn Acosta\Kellyn-Acosta,us USA,MFFW,Colorado,22,1995,12,12,1039,11.5,2,2,2,0,1,3,0,0.17,0.17,0.35,0.17,0.35,2.2,1.5,0.9,2.4,0.19,0.08,0.27,0.13,0.21,Matches
7,Kellyn Acosta\Kellyn-Acosta,us USA,MFFW,FC Dallas,22,1995,13,8,675,7.5,1,1,1,0,0,0,0,0.13,0.13,0.27,0.13,0.27,1.1,1.1,0.7,1.9,0.15,0.10,0.25,0.15,0.25,Matches
8,Luciano Acosta\Luciano-Acosta,ar ARG,MF,D.C. United,23,1994,33,32,2746,30.5,10,15,10,0,0,3,0,0.33,0.49,0.82,0.33,0.82,5.5,5.5,8.5,14.0,0.18,0.28,0.46,0.18,0.46,Matches
9,Mo Adams\Mo-Adams,eng ENG,MF,Chicago,21,1996,14,10,883,9.8,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
10,Tyler Adams\Tyler-Adams,us USA,MF,NY Red Bulls,18,1999,27,26,2328,25.9,0,3,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,1.1,1.1,2.2,3.3,0.04,0.09,0.13,0.04,0.13,Matches
