Pick #	MLS team	Player	Position	College	Other
1	New York City FC	 Jack Harrison*	Midfielder	Wake Forest	
2	Philadelphia Union[R1 trade 1]	 Joshua Yaro*	Defender	Georgetown	Baltimore Bohemians
3	Philadelphia Union	 Keegan Rosenberry	Defender	Georgetown	Reading United AC
4	Chicago Fire[R1 trade 2]	 Brandon Vincent	Defender	Stanford	Portland Timbers U23s
5	Real Salt Lake	 Omar Holness*	Midfielder	North Carolina	Portland Timbers U23s
6	Philadelphia Union[R1 trade 3]	 Fabian Herbers*	Midfielder	Creighton	
7	Orlando City SC	 Richie Laryea*	Midfielder	Akron	
8	San Jose Earthquakes	 Andrew Tarbell*	Goalkeeper	Clemson	New Orleans Jesters
9	Toronto FC	 Tsubasa Endoh	Forward	Maryland	
10	New England Revolution	 Jordan McCrary	Defender	North Carolina	Carolina Dynamo
11	D.C. United[R1 trade 4]	 Julian Büscher*	Midfielder	Syracuse	K-W United FC
12	Chicago Fire[R1 trade 5]	 Jonathan Campbell	Defender	North Carolina	Seattle Sounders U-23
13	Orlando City SC[R1 trade 6]	 Hadji Barry	Forward	UCF	Orlando City U-23
14	Montreal Impact	 Kyle Fisher	Defender	Clemson	Portland Timbers U23s
15	Colorado Rapids[R1 trade 7]	 Emmanuel Appiah	Midfielder	Cincinnati	GPS Portland Phoenix
16	Vancouver Whitecaps FC	 Cole Seiler	Defender	Georgetown	Baltimore Bohemians
17	FC Dallas	 Ryan Herman	Goalkeeper	Washington	Seattle Sounders U-23
18	New York Red Bulls	 Justin Bilyeu	Defender	SIU Edwardsville	FC Tucson
19	Columbus Crew SC	 Rodrigo Saravia	Midfielder	Florida Gulf Coast	
20	Portland Timbers	 Ben Polk	Forward	Syracuse	K-W United FC
21	Columbus Crew SC[R2 trade 1]	 Chase Minter	Midfielder	Cal Poly	Ventura County Fusion
22	Chicago Fire[R2 trade 2]	 Alex Morrell	Forward	North Florida	
23	Philadelphia Union	 Taylor Washington	Defender	George Mason	D.C. United U-23
24	Montreal Impact[R2 trade 3]	 Michael Salazar	Forward	UC Riverside	OC Blues U-23
25	Real Salt Lake	 Max Lachowecki	Defender	Notre Dame	
26	Houston Dynamo	 Ivan Magalhães	Defender	Maryland	
27	Seattle Sounders FC[R2 trade 4]	 Tony Alfaro	Defender	Cal State Dominguez Hills	Ventura County Fusion
28	San Jose Earthquakes	 Patrick Hodan	Midfielder	Notre Dame	
29	Vancouver Whitecaps FC[R2 trade 5]	 Christopher Hellmann	Forward	Lynn	Des Moines Menace
30	New England Revolution	 Michael Gamble	Forward	Wake Forest	Baltimore Bohemians
31	Columbus Crew SC[R2 trade 6]	 Kyle Parker	Forward	Charlotte	
32	D.C. United[R2 trade 7]	 Paul Clowes	Midfielder	Clemson	Orlando City U-23
33	FC Dallas[R2 trade 8]	 Timo Pitter	Midfielder	Creighton	
34	Montreal Impact	 Eric Verso	Midfielder	Stanford	
35	Seattle Sounders FC	 Zach Mathers	Midfielder	Duke	OC Blues U-23
36	Vancouver Whitecaps FC	 Thomas Sanner	Forward	Princeton	Reading United AC
37	Colorado Rapids[R2 trade 9]	 Dennis Castillo	Defender	VCU	Portland Timbers U23s
38	New York Red Bulls	 Zach Carroll	Defender	Michigan State	Michigan Bucks
39	Montreal Impact[R2 trade 10]	 Keegan Smith	Forward	San Diego	Temecula FC
40	Portland Timbers	 Neco Brett	Forward	Robert Morris	Reading United AC
41	Columbus Crew SC[R2 trade 11]	 Marshall Hollingsworth	Midfielder	Wheaton	
