Pick #	MLS team	Player	Position	College	PDL or NPSL affiliation	Signed
1	Los Angeles FC	 João Moutinho*	Defender	Akron		 Los Angeles FC
2	LA Galaxy	 Tomas Hilliard-Arce	Defender	Stanford	Burlingame Dragons FC	 LA Galaxy
3	Los Angeles FC[R1 trade 1]	 Tristan Blackmon	Defender	Pacific	Burlingame Dragons FC	 Los Angeles FC
4	FC Dallas [R1 trade 2]	 Francis Atuahene*	Forward	Michigan	Michigan Bucks	 FC Dallas
5	Chicago Fire [R1 trade 3]	 Jon Bakero	Forward	Wake Forest	Carolina Dynamo	 Chicago Fire
6	Orlando City SC	 Chris Mueller	Forward	Wisconsin	Chicago FC United	 Orlando City
7	Minnesota United FC [R1 trade 4]	 Mason Toye*	Forward	Indiana		 Minnesota United
8	New England Revolution [R1 trade 5]	 Brandon Bye	Defender	Western Michigan	Minneapolis City SC	 New England Revolution
9	New England Revolution	 Mark Segbers	Forward	Wisconsin	Chicago FC United	 New England Revolution
10	Chicago Fire [R1 trade 6]	 Mo Adams*	Midfielder	Syracuse	Reading United AC	 Chicago Fire
11	FC Dallas	 Ema Twumasi*	Midfielder	Wake Forest	GPS Portland Phoenix	 FC Dallas
12	San Jose Earthquakes	 Paul Marie	Midfielder	FIU	Reading United AC	 San Jose Earthquakes
13	Sporting Kansas City	 Eric Dick	Goalkeeper	Butler	OKC Energy U23	 Sporting Kansas City
14	Atlanta United FC	 Jon Gallagher	Forward	Notre Dame		 Atlanta United
15	Minnesota United FC[R1 trade 7]	 Wyatt Omsberg	Defender	Dartmouth	Seacoast United Phantoms	 Minnesota United
16	New York Red Bulls	 Brian White	Forward	Duke	New York Red Bulls U-23	 New York Red Bulls II
17	Vancouver Whitecaps FC	 Justin Fiddes	Defender	Washington	Southern California Surf	 Vancouver Whitecaps FC
18	Sporting Kansas City [R1 trade 8]	 Graham Smith	Defender	Denver	Colorado Rapids U-23	 Sporting Kansas City
19	New York City FC	 Jeff Caldwell	Goalkeeper	Virginia	Colorado Rapids U-23	 New York City FC
20	Houston Dynamo	 Michael Nelson	Goalkeeper	SMU	OKC Energy U23	 Houston Dynamo
21	Columbus Crew SC	 Ben Lundgaard	Goalkeeper	Virginia Tech	New York Red Bulls U-23	 Columbus Crew SC
22	Seattle Sounders FC	 Alex Roldan	Midfielder	Seattle	OSA FC	 Seattle Sounders FC
23	Minnesota United FC[R1 trade 9]	 Carter Manley	Defender	Duke	D.C. United U-23	 Minnesota United
24	Los Angeles FC	 Pol Calvet	Midfielder	Pittsburgh		Retired
25	Colorado Rapids [R2 trade 1]	 Alan Winn	Forward	North Carolina	Tobacco Road FC	 Nashville SC
26	Vancouver Whitecaps FC [R2 trade 2]	 Lucas Stauffer	Defender	Creighton	Des Moines Menace	 New York Red Bulls II
27	Colorado Rapids	 Frantzdy Pierrot	Forward	Coastal Carolina	Reading United AC	 Royal Excel Mouscron
28	Toronto FC[R2 trade 3]	 Tim Kübel	Defender	Louisville		 Toronto FC II
29	FC Dallas [R2 trade 4]	 Mauro Cichero	Forward	SMU	OKC Energy U23	 Charleston Battery
30	San Jose Earthquakes [R2 trade 5]	 Danny Musovski	Forward	UNLV	FC Tucson	 San Jose Earthquakes
31	New York Red Bulls [R2 trade 6]	 Niko de Vera	Defender	Akron	Portland Timbers U23	 New York Red Bulls II
32	Columbus Crew SC [R2 trade 7]	 Edward Opoku*	Forward	Virginia	AC Connecticut	 Columbus Crew SC
33	Real Salt Lake	 Ricky Lopez-Espin	Forward	Creighton	Tampa Bay Rowdies U23	 Real Salt Lake
34	FC Dallas	 Chris Lema	Midfielder	Georgetown	New York Red Bulls U-23	 New York Red Bulls II
35	San Jose Earthquakes	 Mohamed Thiaw	Forward	Louisville	Portland Timbers U23	 San Jose Earthquakes
36	Atlanta United FC [R2 trade 8]	 Oliver Shannon	Midfielder	Clemson		 Atlanta United
37	Atlanta United FC	 Gordon Wild*	Forward	Maryland		 Atlanta United
38	Chicago Fire	 Diego Campos	Midfielder	Clemson	SIMA Águilas	 Chicago Fire
39	New York Red Bulls	 Tom Barlow	Forward	Wisconsin	Chicago FC United	 New York Red Bulls II
40	LA Galaxy [R2 trade 9]	 Drew Skundrich	Midfielder	Stanford	Burlingame Dragons FC	 Bethlehem Steel
41	Minnesota United FC [R2 trade 10]	 Xavier Gomez	Forward	Omaha		 Chicago FC United
42	New York City FC	 A. J. Paterson	Midfielder	Wright State	SW Florida Adrenaline	 Bethlehem Steel
43	Houston Dynamo	 Mac Steeves	Forward	Providence	FC Boston	 Houston Dynamo
44	Columbus Crew SC	 Jake Rozhansky	Midfielder	Maryland	D.C. United U-23	 Maccabi Netanya
45	Seattle Sounders FC	 Markus Fjørtoft	Defender	Duke	New York Red Bulls U-23	 Southern United
46	Toronto FC	 Drew Shepherd	Goalkeeper	Western Michigan	Michigan Bucks	 Toronto FC II
