P	MLS team	Player	Pos.	College	Conference	Club team	Signed
1	FC Cincinnati	 Frankie Amaya^	MF	UCLA	Pac-12	N/A	 FC Cincinnati
2	San Jose Earthquakes	 Siad Haji^	MF	VCU	Atlantic 10	Portland Timbers U23s	 San Jose Earthquakes
3	Orlando City SC	 Santiago Patiño	FW	FIU	C-USA	Seattle Sounders FC U-23	 Orlando City SC
4	FC Dallas [R1 trade 1]	 Callum Montgomery	DF	Charlotte	C-USA	Victoria Highlanders	 FC Dallas
5	Colorado Rapids [R1 trade 2]	 Andre Shinyashiki	FW	Denver	Summit	Colorado Rapids U-23	 Colorado Rapids
6	Toronto FC	 Griffin Dorsey^	FW	Indiana	Big Ten	Colorado Rapids U-23	 Toronto FC
7	Minnesota United FC	 Dayne St. Clair^	GK	Maryland	Big Ten	New York Red Bulls U-23	 Minnesota United
8	Houston Dynamo	 Sam Junqua	DF	California	Pac-12	San Francisco Glens	 Houston Dynamo
9	New England Revolution	 Tajon Buchanan^	FW	Syracuse	ACC	N/A	 New England Revolution
10	FC Dallas [R1 trade 3]	 John Nelson^	DF	North Carolina	ACC	Tobacco Road FC	 FC Dallas
11	New England Revolution [R1 trade 4]	 DeJuan Jones	MF	Michigan State	Big Ten	Lansing United	 New England Revolution
12	New York City FC [R1 trade 5]	 Luis Barraza	GK	Marquette	Big East	Chicago FC United	 New York City FC
13	FC Cincinnati [R1 trade 6]	 Logan Gdula	DF	Wake Forest	ACC	Carolina Dynamo	 FC Cincinnati
14	D.C. United	 Akeem Ward	DF	Creighton	Big East	Chicago FC United	 D.C. United
15	Minnesota United FC [R1 trade 7]	 Chase Gasper	DF	Maryland	Big Ten	FC Golden State Force	 Minnesota United FC
16	New York Red Bulls [R1 trade 8]	 Roy Boateng	DF	UC Davis	Big West	San Francisco Glens	 New York Red Bulls II (II Division)
17	Real Salt Lake	 Sam Brown	MF	Harvard	Ivy	Portland Timbers U23s	 Real Monarchs (II Division)
18	Columbus Crew SC	 J. J. Williams^	FW	Kentucky	C-USA	Dayton Dutch Lions	 Columbus Crew SC
19	LA Galaxy [R1 trade 9]	 Emil Cuello	MF	SMU	American	Ocean City Nor'easters	 LA Galaxy
20	Seattle Sounders FC	 Tucker Bone	MF	Air Force	WAC	Colorado Pride Switchbacks U23	 Colorado Springs Switchbacks (II Division)
21	Sporting Kansas City	 Kamar Marriott	DF	Florida Gulf Coast	Atlantic Sun	Seattle Sounders FC U-23	
22	New York Red Bulls	 János Löbe	FW	Fordham	Atlantic 10	New York Red Bulls U-23	 New York Red Bulls II (II Division)
23	Portland Timbers	 Ryan Sierakowski	FW	Michigan State	Big Ten	Chicago FC United	Portland Timbers 2 (II Division)
24	Atlanta United FC	 Anderson Asiedu	MF	UCLA	Pac-12	FC Golden State Force	 Atlanta United FC
25	New York Red Bulls [R2 trade 1]	 Sean Nealis	DF	Hofstra	CAA	Westchester Flames	 New York Red Bulls
26	San Jose Earthquakes	 Sergio Rivas	MF	Seattle	WAC	Albuquerque Sol	Reno 1868 (II Division)
27	Orlando City SC	 Kamal Miller	DF	Syracuse	ACC	Reading United	 Orlando City SC
28	Colorado Rapids	 Marcello Borges	DF	Michigan	Big Ten	Michigan Bucks	 Detroit City FC (IV Division)
29	FC Cincinnati [R2 trade 2]	 Tommy McCabe	MF	Notre Dame	ACC	Baltimore Bohemians	 FC Cincinnati
30	FC Cincinnati [R2 trade 3]	 Jimmy Hague	GK	Michigan State	Big Ten	Michigan Bucks	 FC Cincinnati
31	Minnesota United FC	 Hassani Dotson	MF	Oregon State	Pac-12	Lane United	 Minnesota United FC
32	New York Red Bulls [R2 trade 4]	 Rece Buckmaster	DF	Indiana	Big Ten	Chicago Fire U-23	 New York Red Bulls II (II Division)
33	Houston Dynamo [R2 trade 5]	 Andrew Samuels	DF	Maryland	Big Ten	Tampa Bay Rowdies U23	 RGVFC Toros (II Division)
34	Montreal Impact	 Amar Sejdič	MF	Maryland	Big Ten	Derby City Rovers	 Montreal Impact
35	Vancouver Whitecaps FC	 Brendan McDonough	DF	Georgetown	Big East	N/A	 Vancouver Whitecaps FC
36	LA Galaxy	 Don Tchilao	MF	Oregon State	Pac-12	Portland Timbers U23s	 LA Galaxy II (II Division)
37	FC Cincinnati [R2 trade 6]	 Ben Lundt	GK	Akron	MAC	Reading United	 FC Cincinnati
38	Orlando City SC [R2 trade 7]	 Tommy Madden	MF	Charlotte	C-USA	N/A	 New Mexico United (II Division)
