P	MLS team	Player	Pos.	College	Conference	Academy team	Amateur team	Signed
1	Inter Miami	 Robbie Robinson	FW	Clemson	ACC	Charleston Battery	N/A	Inter Miami[6]
2	Nashville SC	 Jack Maher	DF	Indiana	Big Ten	Saint Louis FC	Saint Louis FC U23	Nashville SC[7]
3	Inter Miami [R1 trade 1]	 Dylan Nealis	MF	Georgetown	Big East	BW Gottschee	Long Island Rough Riders	Inter Miami[9]
4	Vancouver Whitecaps FC	 Ryan Raposo	MF	Syracuse	ACC	Vaughan SC	Vaughan Azzurri	Vancouver Whitecaps[10]
5	Orlando City	 Daryl Dike	FW	Virginia	ACC	OKC Energy	OKC Energy U23	Orlando City[11]
6	New England Revolution [R1 trade 2]	 Henry Kessler	DF	Virginia	ACC	New York Red Bulls	Charlottesville Alliance	New England Revolution[13]
7	Columbus Crew	 Miguel Berry	FW	San Diego	WCC	San Diego Surf	Orange County SC U-23	Columbus Crew[14]
8	Houston Dynamo	 Garrett McLaughlin	FW	SMU	American	Oklahoma FC 97	OKC Energy U23	Rio Grande Valley FC[15]
9	Montreal Impact	 Jeremy Kelly	MF	North Carolina	ACC	Carolina RailHawks	North Carolina FC U23	Colorado Rapids[16]
10	New York Red Bulls [R1 trade 3]	 Patrick Seagrist	DF	Marquette	Big East	Sockers FC	Chicago FC United	New York Red Bulls[18]
11	Nashville SC [R1 trade 4]	 Alistair Johnston	MF	Wake Forest	ACC	Vaughan SC	Vaughan Azzurri	Nashville SC[20]
12	San Jose Earthquakes	 Tanner Beason	DF	Stanford	Pac-12	North Carolina Fusion	San Francisco City	San Jose Earthquakes[21]
13	Nashville SC [R1 trade 5]	 Elliot Panicco	GK	Charlotte	C-USA	Carolina Rapids	N/A	Nashville SC[20]
14	FC Dallas	 Nkosi Burgess	DF	Seattle	WAC	Dix Hills Heat	N/A	FC Dallas[22]
15	New York Red Bulls	 Cherif Dieye	MF	Louisville	ACC	IMG Academy	N/A	New York Red Bulls II[23]
16	Portland Timbers	 Aaron Molloy	MF	Penn State	Big Ten	Bohemians	Reading United	Portland Timbers 2[24]
17	FC Dallas [R1 trade 6]	 Cal Jennings	FW	UCF	American	Georgia United	N/A	Memphis 901[26]
18	Minnesota United	 Noah Billingsley	DF	UC Santa Barbara	Big West	Waitakere United	N/A	Minnesota United[27]
