P,MLS team,Player,Pos.,College,Conference,Academy team,Amateur team,Signed
1,Austin FC, Daniel Pereira,MF,Virginia Tech,ACC,Virginia Blue Ridge Star,N/A, Austin FC
2,FC Cincinnati, Calvin Harris,FW,Wake Forest,ACC,Wellington Phoenix,N/A, FC Cincinnati
3,Colorado Rapids, Philip Mayaka,MF,Clemson,ACC,Orlando City,N/A, Colorado Rapids
4,D.C. United, Kimarni Smith,FW,Clemson,ACC,Sheffield United,Greenville FC,
5,D.C. United[R1 trade 2], Michael DeShields,DF,Wake Forest,ACC,Baltimore Celtic,Treasure Coast Tritons, D.C. United
6,Houston Dynamo[R1 trade 3][R1 trade 4], Ethan Bartlow,DF,Washington,Pac-12,Crossfire Premier,Crossfire Redmond, Houston Dynamo
7,Real Salt Lake, Bret Halsey,DF,Virginia,ACC,Loudoun Soccer,Northern Virginia United, Real Salt Lake
8,Orlando City[R1 trade 5], Derek Dodson,FW,Georgetown,Big East,Sockers FC,Treasure Coast Tritons,
9,Vancouver Whitecaps, David Egbo,FW,Akron,MAC,Century Soccer,Black Rock FC, Vancouver Whitecaps
10,Inter Miami, Josh Penn,FW,Indiana,Big Ten,Sockers FC,Indy Eleven, Inter Miami
11,Austin FC[R1 trade 6], Freddy Kleemann,DF,Washington,Pac-12,Real So Cal,Ventura County Fusion, Austin FC
12,San Jose Earthquakes, Tommy Williamson,FW,California,Pac-12,Strikers FC,Orange County SC U23,
13,New York Red Bulls, Luther Archimède,FW,Syracuse,ACC,Sochaux,N/A,
14,Los Angeles FC, Daniel Trejo,FW,CSUN,Big West,Olé Soccer Club,FC Golden State Force,
15,FC Dallas[R1 trade 7], Nicky Hernandez,MF,SMU,American,Dallas Texans,Denton Diablos, North Texas SC[A]
16,LA Galaxy[R1 trade 8], Josh Drack,FW,Denver,Summit,Portland Timbers,Colorado Pride Switchbacks U23,
17,Minnesota United[R1 trade 9], Justin McMaster,FW,Wake Forest,ACC,Philadelphia Union,Bethlehem Steel,
18,Minnesota United[R1 trade 10], Nabilai Kibunguchy,DF,UC Davis,Big West,Sacramento Republic,San Francisco Glens,
19,Orlando City[R1 trade 11], Rio Hope-Gund,DF,Georgetown,Big East,New York SC,Manhattan SC,
20,Nashville SC, Irakoze Donasiyano,FW,Virginia,ACC,Roanoke Star,Daytona Rush,
21,Austin FC [R1 trade 12], Aedan Stanley,DF,Duke,ACC,St. Louis Scott Gallagher,Portland Timbers 2, Sporting Kansas City II[A]
22,Orlando City, Brandon Hackenberg,DF,Penn State,Big Ten,Richmond United,Reading United,
23,Vancouver Whitecaps[R1 trade 13], Javain Brown,DF,South Florida,American,Harbour View,Treasure Coast Tritons, Vancouver Whitecaps
24,New England Revolution, Edward Kizza,FW,Pittsburgh,ACC,Montverde Academy,SIMA Águilas,
25,Toronto FC [R1 trade 14], Matt Di Rosa,MF,Maryland,Big Ten,Bethesda SC,N/A,
26,Inter Miami[R1 trade 15], Aimé Mabika,DF,Kentucky,C-USA,N/A,Cincinnati Dutch Lions,
27,Columbus Crew, Justin Malou,DF,Clemson,ACC,Montverde Academy,SIMA Águilas,
28,Austin FC, Daniel Steedman,FW,Virginia,ACC,Charlotte Soccer Academy,Charlotte Independence, Atlanta United 2[A]
29,FC Cincinnati, Avionne Flanagan,DF,South Florida,American,D.C. United,Treasure Coast Tritons,
30,Houston Dynamo, Kristofer Strickler,FW,Virginia Tech,ACC,Blast FC,Dayton Dutch Lions,
31,Atlanta United[R2 trade 1], Josh Bauer,DF,New Hampshire,America East,GPS New Hampshire,Seattle Sounders FC U-23,
32,D.C. United[R2 trade 2], Logan Panchot,MF,Stanford,Pac-12,St. Louis Scott Gallagher,San Francisco City,
33,Chicago Fire, Jackson Ragen,DF,Michigan,Big Ten,Seattle Sounders FC,OSA Seattle FC,
