Pick,PctValue,Allocation Money Value
1,1.0,191933.22097658194
2,0.922481449979366,177054.83598568736
3,0.8518854422119051,163505.1168267908
4,0.7875937815529174,151165.41131457788
5,0.7290434787665944,139927.66311164474
6,0.6757218205416896,129693.4655007263
7,0.6271618797634206,120373.1996567211
8,0.5829384267259529,111885.24987253331
9,0.5426642054807673,104155.28886662135
10,0.5059865427136393,97115.62691383364
11,0.4725842594548419,90704.61910000049
12,0.4421648585790347,84866.12550972895
13,0.4144619634663375,79549.01962037258
14,0.389232985395456,74706.74059728073
15,0.3662569992426839,70296.88556986584
16,0.3453328088847062,66280.83831813205
17,0.3262771853643176,62623.43111814675
18,0.3089232623910281,59292.6367853038
19,0.2931190751262747,56259.28821866261
20,0.2787262294576708,53496.822990468616
21,0.2656186901093966,50981.05074427706
22,0.253681676976453,48689.94136483142
23,0.2428106600181989,46603.43206474267
24,0.232910443909657,44703.25169866598
25,0.2238943344350586,42972.76076652884
26,0.2156833793239065,41396.805704751285
27,0.2082056768817057,39961.58618951523
28,0.2013957463611805,38654.5342900841
29,0.1951939545604451,37464.20441394281
30,0.1895459936269609,36380.173080029264
31,0.1844024054945147,35392.947642391955
32,0.1797181487888083,34493.883164984574
33,0.1754522044091366,33675.10671968723
34,0.1715672163323124,32929.44844464675
35,0.1680291644934304,32250.378759228
36,0.1648070668789509,31631.95118577999
37,0.1618727082233934,31068.750277518335
38,0.1592003929338903,30555.84419653905
39,0.1567667200790105,30088.741526698686
40,0.154550378471475,29663.351943179972
41,0.152531960050345,29275.95039433405
42,0.1506937899285079,28923.14448214692
43,0.1490197716172187,28601.84475568741
44,0.1474952460723627,28309.23765740213
45,0.1461068633281333,28042.76088535386
46,0.1448424655940458,27800.08095565496
47,0.1436909807915948,27579.072768614962
48,0.1426423255982727,27377.800999666815
49,0.1416873171499276,27194.50315211611
50,0.1408175926282563,27027.57412330941
